Name,Position,Team,Attempts,Completion,Interception,"Touch Downs",Yards,Fumbles,Long,Catches,Team,FGA,FGS,XPA,Points,XPA,XPM,FF,FR,INT,Sacks,"Tackles For Loss",Tackles
"Lance Smith",K,Georgia,,,,,,,0,,0,0,1,1,1,1,,,,,,
"Michael Washington",HB,Cal,,,,0,166,,,,,,,,,,,,,,,
"Cedric McCollum",HB,Illinois,,,,0,141,,,,,,,,,,,,,,,
"Joel Salyer",HB,"South Carolina",,,,0,141,,,,,,,,,,,,,,,
"Elliot Larkin",HB,LSU,,,,0,115,,,,,,,,,,,,,,,
"David Clark",CB,Kentucky,,,,0,97,,,,,,,,,,,,,,,
"Jordan Finley",WR,Northwestern,,,,0,93,,,,,,,,,,,,,,,
"Dan Walton",WR,Alabama,,,,0,76,,,,,,,,,,,,,,,
"Kevin Murphy",WR,Vanderbilt,,,,0,73,,,,,,,,,,,,,,,
"Chad Allen",WR,"South Carolina",,,,0,72,,,,,,,,,,,,,,,
"Shane Johnson",FS,"Kent State",,,,0,65,,,,,,,,,,,,,,,
"Jeff Robinson",WR,Arkansas,,,,0,52,,,,,,,,,,,,,,,
"Kurt Nash",WR,Vanderbilt,,,,0,51,,,,,,,,,,,,,,,
"Jeff Miller",WR,SMU,,,,0,49,,,,,,,,,,,,,,,
"J.B. Carter",WR,"Texas A&M",,,,0,45,,,,,,,,,,,,,,,
"Joel Edwards",CB,"Air Force",,,,0,44,,,,,,,,,,,,,,,
"Zach Peterson",CB,"Mississippi State",,,,0,44,,,,,,,,,,,,,,,
"Chris Heinz",CB,Kentucky,,,,0,43,,,,,,,,,,,,,,,
"Don Brown",CB,Arkansas,,,,0,43,,,,,,,,,,,,,,,
"Roderick Chase",HB,Tennessee,,,,0,41,,,,,,,,,,,,,,,
"Amir Hughes",HB,"Mississippi State",,,,0,39,,,,,,,,,,,,,,,
"Tony Newton",HB,"Kent State",,,,0,36,,,,,,,,,,,,,,,
"Drew Davis",HB,"Air Force",,,,0,33,,,,,,,,,,,,,,,
"Daniel Brown",WR,"Texas A&M",,,,0,27,,,,,,,,,,,,,,,
"Lamont Powell",WR,"Notre Dame",,,,0,27,,,,,,,,,,,,,,,
"Michael Larson",CB,Cal,,,,0,26,,,,,,,,,,,,,,,
"Roderick Chase",HB,Tennessee,,,,0,93,,,,,,,,,,,,,,,
"Elliot Larkin",HB,LSU,,,,0,86,,,,,,,,,,,,,,,
"Dan Walton",WR,Alabama,,,,0,72,,,,,,,,,,,,,,,
"Kevin Murphy",WR,Vanderbilt,,,,0,44,,,,,,,,,,,,,,,
"Josh Fry",HB,"Air Force",,,,0,43,,,,,,,,,,,,,,,
"Zach Peterson",CB,"Mississippi State",,,,0,31,,,,,,,,,,,,,,,
"David Clark",CB,Kentucky,,,,0,26,,,,,,,,,,,,,,,
"Matt Prince",HB,"Texas A&M",,,,0,25,,,,,,,,,,,,,,,
"Andre Tucker",WR,LSU,,,,0,18,,,,,,,,,,,,,,,
"Joel Salyer",HB,"South Carolina",,,,0,18,,,,,,,,,,,,,,,
"Jeff Miller",WR,SMU,,,,0,14,,,,,,,,,,,,,,,
"Jimmy Grant",WR,Miami,,,,0,12,,,,,,,,,,,,,,,
"Brian Smash",HB,Pittsburgh,,,,0,11,,,,,,,,,,,,,,,
"Jeff Robinson",WR,Arkansas,,,,0,11,,,,,,,,,,,,,,,
"Aaron Coleman",HB,Alabama,,,,0,9,,,,,,,,,,,,,,,
"Shane Johnson",FS,"Kent State",,,,0,8,,,,,,,,,,,,,,,
"Tyler Scott",HB,Alabama,,,,0,3,,,,,,,,,,,,,,,
"Robert Harris",MLB,Georgia,,,1,,,,,,,,,,,,0,0,1,1,5,8
"Willie Richardson",ROLB,"Kent State",,,0,,,,,,,,,,,,0,1,0,0,0,6
"Seth Larsen",MLB,"Notre Dame",,,0,,,,,,,,,,,,0,0,0,0,3,6
"John Payne",SS,Illinois,,,1,,,,,,,,,,,,0,0,1,1,2,6
"John Bullock",FS,Maryland,,,0,,,,,,,,,,,,0,0,0,0,1,6
"Brian Howe",ROLB,Kentucky,,,0,,,,,,,,,,,,0,0,0,0,1,6
"Joe Lewis",LOLB,"Texas A&M",,,0,,,,,,,,,,,,0,0,0,0,0,5
"Adam Walker",LOLB,Northwestern,,,0,,,,,,,,,,,,2,0,0,0,0,5
"Connor Butler",ROLB,Arkansas,,,0,,,,,,,,,,,,0,0,0,1,6,5
"McKinley Hearn",MLB,"Mississippi State",,,0,,,,,,,,,,,,0,0,0,0,0,5
"Paul Jackson",LOLB,Cal,,,0,,,,,,,,,,,,0,0,0,2,4,5
"Brandon Yancey",RE,"South Carolina",,,0,,,,,,,,,,,,0,0,0,1,4,5
"Jordan Parham",CB,Maryland,,,0,,,,,,,,,,,,2,0,0,0,1,5
"Jerome Hughes",ROLB,Illinois,,,0,,,,,,,,,,,,1,0,0,0,2,5
"Alex Murray",LOLB,Kentucky,,,0,,,,,,,,,,,,0,0,0,1,4,5
"Atari Randall",ROLB,"Notre Dame",,,0,,,,,,,,,,,,0,0,0,0,3,5
"Taylor Chase",LE,Vanderbilt,,,0,,,,,,,,,,,,0,0,0,1,3,4
"John Walker",LOLB,Vanderbilt,,,0,,,,,,,,,,,,0,0,0,1,2,4
"Terrell Woods",LOLB,"Notre Dame",,,0,,,,,,,,,,,,0,0,0,0,1,4
"Lance Garrison",DT,Tennessee,,,0,,,,,,,,,,,,0,0,0,2,4,4
"Brian Smith",LOLB,Illinois,,,0,,,,,,,,,,,,0,0,0,0,0,4
"Patrick Allen",SS,Maryland,,,0,,,,,,,,,,,,0,0,0,0,0,4
"Howard Williams",MLB,Maryland,,,0,,,,,,,,,,,,0,0,0,0,0,4
"James Coleman",ROLB,"Mississippi State",,,0,,,,,,,,,,,,0,0,0,0,1,4
"Willis Baker",ROLB,Cal,,,0,,,,,,,,,,,,0,0,0,0,2,4
