Name,Caliber,status,Height,position,weight,rank,homeTown,Speed(base),Strength(base),Agility(base),Acceleration(base),Jumping(base),Awareness(base),Stamina(base),Injury(base),"Break Tackle(rushing)",Trucking(rushing),Elusiveness(rushing),"Stiff Arm(rushing)","Spin Move(rushing)","Juke Move(rushing)",Carrying(rushing),"Ball Carrier Vision(rushing)","Pass Block(blocking)","Run Block(blocking)","Impact Blocking(blocking)",Catching(receiving),"Spectacular Catch(receiving)","Catch In Traffic(receiving)","Route Running(receiving)",Release(receiving),Tackle(tackling),"Hit Power(tackling)",Pursuit(tackling),"Play Recognition(tackling)","Power Moves(blockingShedding)","Finesse Moves(blockingShedding)","Block Shedding(blockingShedding)","Man Coverage(coverage)","Zone Coverage(coverage)",Press(coverage),"Throw Power(passing)","Throw Accuracy(passing)","Kick Power(kicking)","Kick Accuracy(kicking)","School 1","School 2","School 3","School 4","School 5","School 6","School 7","School 8","School 9","School 10"
"Scott Reese",5,"10 Schools Remaining","6'5""",G,"318 lbs",11,"La Mesa",D,B,D,A,D,,D,B,,,,,,,,,B,B,D,,,,,,,,,,,,,,,,,,,,"Ohio State",Nevada,SMU,Cal,Clemson,Arizona,Arkansas,BYU,USC,Utah
"Mike Baker",5,"10 Schools Remaining","5'11""",ATH,"201 lbs",12,"State College",B,D,B,C,C,,B,B,C,D,A,D,A,C,D,C,,,,D,C,D,D,C,D,D,B,C,D,D,D,C,B,B,B,B,,,"Penn State","South Carolina",Northwestern,Syracuse,"Boston College","Texas A&M",Pittsburgh,,,
"Chad Glover",5,"10 Schools Remaining","6'5""",TE,"235 lbs",13,"Fort Walton Beach",A,B,D,B,C,,B,C,B,B,B,B,B,C,D,B,C,D,D,B,C,C,C,C,,,,,,,,,,,,,,,Alabama,Georgia,Rutgers,"Florida State",Miami,Auburn,Duke,Clemson,Louisville,
"Luke Hunter",5,"10 Schools Remaining","6'1""",ATH,"194 lbs",14,Choctaw,A,D,C,A,C,,B,B,D,D,C,D,D,D,C,D,,,,C,C,D,B,D,D,D,D,C,D,D,D,C,C,D,D,D,,,Oklahoma,Wisconsin,SMU,TCU,"Oklahoma State",,,,,
"Steven Robinson",5,"10 Schools Remaining","6'2""",QB,"188 lbs",15,Ravenna,C,D,D,C,D,,B,B,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,B,A,,,"Notre Dame","Ohio State",Georgia,Syracuse,Northwestern,"Boston College",Nebraska,,Indiana,Florida
"Terrance Morgan",5,"10 Schools Remaining","6'5""",ATH,"221 lbs",16,Abingdon,C,D,C,B,D,,B,B,D,D,D,D,D,D,C,D,,,,D,D,D,D,D,D,C,B,B,D,D,D,C,C,C,A,C,,,"Notre Dame","Ohio State",Oklahoma,"Virginia Tech",Alabama,USC,"Texas A&M",SMU,"Penn State",
"Jake Jones",5,"8 Schools Remaining","6'0""",ATH,"231 lbs",17,"Pine Hills",B,D,C,B,D,,C,C,C,B,C,B,C,C,B,B,,,,D,D,D,C,D,B,D,C,C,D,D,D,C,D,D,B,B,,,"Boston College",FIU,Houston,Maryland,"Northern Illinois",Tennessee,,Florida,,
"Bryan Heinz",5,"Soft Commit","6'1""",DT,"295 lbs",18,"Scotch Plains",D,B,55,B,69,,D,84,,,,,,,,,,,,,,,,,82,B,B,B,84,B,79,,,,,,,,USC,"Penn State",LSU,Illinois,"Arkansas State","Boise State",UCF,Auburn,Florida,
"Dane Carter",5,"Soft Commit","6'6""",QB,"227 lbs",19,Newnan,88,51,B,C,64,,A,89,C,58,B,41,D,D,D,67,,,,,,,,,,,,,,,,,,,B,79,,,Alabama,Virginia,Georgia,"Notre Dame",Rutgers,"Arizona State",,FIU,,
"Kirk Miller",5,"Soft Commit","6'1""",ATH,"212 lbs",20,"Fort Meade",A,D,B,B,A,,B,C,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,D,C,C,B,D,D,D,B,B,C,D,D,,,Texas,"Boston College",Rutgers,Miami,,Alabama,SMU,,"Boise State",
"Matt Sullivan",5,"10 Schools Remaining","5'11""",HB,"207 lbs",21,Irondale,B,C,B,B,B,,D,A,B,D,B,D,A,B,C,C,D,D,D,D,D,D,C,B,,,,,,,,,,,,,,,Alabama,"Florida State",Florida,Clemson,"Arkansas State",UCF,Georgia,SMU,"Boston College",Auburn
"Brad Wilson",5,"5 Schools Remaining","6'0""",WR,"189 lbs",22,Ocala,B,D,C,B,B,,B,B,D,D,D,D,D,D,C,B,,,,B,C,D,B,C,,,,,,,,,,,,,,,"Georgia Tech",FIU,"North Carolina","Boston College",Buffalo,Hawai'i,Louisville,"Northern Illinois",,
"Luther Weber",5,"10 Schools Remaining","6'0""",ATH,"198 lbs",23,"Palmetto Estates",B,D,C,C,C,,A,B,D,D,C,D,B,C,D,D,,,,C,D,B,B,D,D,D,D,D,D,D,D,D,D,D,C,B,,,Alabama,Tennessee,Georgia,"Notre Dame","Virginia Tech",FIU,"West Virginia",SMU,,
"Damien Shaw",5,"10 Schools Remaining","6'2""",DE,"250 lbs",24,Gray,B,B,B,C,C,,C,C,,,,,,,,,,,,,,,,,C,C,B,C,B,B,C,,,,,,,,LSU,SMU,"Mississippi State",FIU,Clemson,USC,Rutgers,Arkansas,,
"Chris Ostrander",4,"10 Schools Remaining","6'2""",G,"310 lbs",25,Rayne,D,B,D,B,D,,D,B,,,,,,,,,B,B,C,,,,,,,,,,,,,,,,,,,,LSU,Rutgers,"Notre Dame",SMU,Oklahoma,"Mississippi State",FIU,Indiana,"Oklahoma State",Arkansas
"Tramon Mills",4,"5 Schools Remaining","6'0""",DT,"298 lbs",26,Ladson,D,B,D,C,D,,D,B,,,,,,,,,,,,,,,,,B,D,B,B,B,B,C,,,,,,,,Clemson,"South Carolina","Arkansas State",Georgia,"Mississippi State",Ohio,"Oklahoma State",,ECU,Missouri
"Jeff Silva",4,"10 Schools Remaining","6'2""",G,"288 lbs",27,"Key West",C,B,D,B,D,,D,B,,,,,,,,,C,A,C,,,,,,,,,,,,,,,,,,,,Virginia,Auburn,Alabama,Georgia,USC,Clemson,FIU,Buffalo,,Cincinnati
"Chris Love",4,"10 Schools Remaining","6'1""",CB,"167 lbs",28,Sweetwater,A,D,C,A,B,,A,C,,,,,,,,,,,,,,,,,D,C,B,A,D,D,D,B,B,B,,,,,Rutgers,Alabama,Florida,USC,"Notre Dame","Arkansas State",Nebraska,"Kansas State",Miami,
"Edward Thompson",4,"10 Schools Remaining","6'2""",DE,"242 lbs",29,Rifle,D,C,D,B,D,,D,B,,,,,,,,,,,,,,,,,A,B,B,D,D,B,B,,,,,,,,Rutgers,USC,Oklahoma,Alabama,"Notre Dame",Georgia,Washington,"Texas A&M",ECU,"Penn State"
"Brian Casey",4,"10 Schools Remaining","6'1""",WR,"202 lbs",30,"Long Branch",A,D,B,A,B,,B,D,D,D,D,D,D,D,B,D,,,,C,D,D,D,D,,,,,,,,,,,,,,,Virginia,"North Carolina","Boston College","Penn State",Miami,,,,,
"Kenny Nealy",4,"10 Schools Remaining","6'3""",DT,"297 lbs",31,"North Bergen",D,B,D,B,C,,B,C,,,,,,,,,,,,,,,,,A,B,C,C,C,D,C,,,,,,,,"Notre Dame",Alabama,USC,Oklahoma,"South Carolina","San Diego State","Mississippi State","Southern Miss","Oklahoma State","Penn State"
"Patrick Lane",4,"10 Schools Remaining","6'2""",ATH,"226 lbs",32,"West Linn",C,D,B,B,C,,B,B,C,C,C,B,B,C,A,B,,,,C,D,D,D,C,D,D,D,D,D,D,D,D,D,D,B,C,,,USC,Cal,Oklahoma,Alabama,"Notre Dame",Oregon,,,,
"Avery White",4,"8 Schools Remaining","6'2""",T,"300 lbs",33,Corinth,C,79,64,97,40,,D,C,,,,,,,,,B,A,74,,,,,,,,,,,,,,,,,,,,Maryland,Alabama,Rutgers,Baylor,Oklahoma,"Georgia Tech","Mississippi State","Kansas State",Duke,
"Kenny Terrell",4,"10 Schools Remaining","6'3""",ATH,"205 lbs",34,D'Iberville,A,D,A,A,A,,C,C,D,D,D,D,B,C,D,D,,,,D,D,D,C,D,D,D,D,C,D,D,D,C,B,D,D,D,,,"Notre Dame","Arizona State",Miami,"Mississippi State",TCU,"Kansas State",Toledo,Wyoming,"West Virginia",
"Dedrick Rogers",4,"8 Schools Remaining","6'2""",C,"284 lbs",35,Milbank,D,B,D,B,D,,D,B,,,,,,,,,B,B,B,,,,,,,,,,,,,,,,,,,,Cal,Rutgers,Maryland,Oregon,Baylor,"Arkansas State",ECU,Arizona,BYU,
"Terrell Brooks",4,"10 Schools Remaining","6'7""",T,"281 lbs",36,"Peachtree City",D,C,D,A,D,,D,B,,,,,,,,,B,C,B,,,,,,,,,,,,,,,,,,,,Auburn,"Florida State",Georgia,Virginia,Duke,Michigan,Miami,Florida,FIU,Cincinnati
"Bruce Dobzinski",4,"8 Schools Remaining","6'1""",WR,"185 lbs",37,Conway,B,D,C,88,C,,C,B,D,44,D,48,61,D,84,76,,,,80,C,D,C,D,,,,,,,,,,,,,,,Oklahoma,Maryland,"North Carolina","South Carolina","Florida State",Alabama,FIU,Buffalo,Louisville,
"Mark Crowder",4,"10 Schools Remaining","6'2""",OLB,"234 lbs",38,Paris,A,C,C,A,C,,A,B,,,,,,,,,,,,,,,,,B,B,B,D,C,D,C,C,C,D,,,,,Oklahoma,Texas,Baylor,SMU,"Kansas State",Pittsburgh,LSU,BYU,Arizona,
"Dave Austin",4,"8 Schools Remaining","6'0""",ATH,"237 lbs",39,Watsonville,B,D,C,C,B,,B,B,C,B,C,C,C,C,C,C,,,,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,Cal,Oregon,"Arkansas State",Maryland,USC,Stanford,Utah,"West Virginia",,
"Kyle McKenzie",4,"10 Schools Remaining","6'2""",DE,"250 lbs",40,Allendale,B,C,D,A,D,,C,C,,,,,,,,,,,,,,,,,C,B,B,C,B,C,B,,,,,,,,Oregon,"Notre Dame","Ohio State",LSU,Indiana,Toledo,,,,
"Marcus Beck",4,"10 Schools Remaining","6'2""",WR,"203 lbs",41,Lewistown,C,D,B,B,B,,C,B,C,D,D,D,D,D,B,D,,,,C,B,B,B,A,,,,,,,,,,,,,,,"Ohio State","Notre Dame",Oklahoma,Alabama,Navy,"Penn State",Northwestern,,,
"Greg Whitaker",4,"5 Schools Remaining","6'3""",G,"273 lbs",42,"Middleburg Heights",D,B,D,B,D,,C,C,,,,,,,,,B,B,D,,,,,,,,,,,,,,,,,,,,"Ohio State","Notre Dame",Alabama,Oregon,Northwestern,"Texas Tech",Indiana,"Oklahoma State",Buffalo,Cincinnati
"Jordan Smith",4,"10 Schools Remaining","6'1""",CB,"193 lbs",43,Gladstone,A,D,D,B,A,,B,B,,,,,,,,,,,,,,,,,C,D,B,D,D,D,D,B,B,C,,,,,Illinois,Baylor,"Texas A&M",Missouri,"Northern Illinois",Rutgers,Miami,Toledo,Wyoming,
"Rashad Anderson",4,"10 Schools Remaining","6'4""",WR,"208 lbs",44,Paragould,A,D,B,B,A,,C,B,D,D,B,D,D,D,B,C,,,,D,B,C,A,C,,,,,,,,,,,,,,,TCU,"Oklahoma State","Arizona State",Texas,Arkansas,"Arkansas State",,,,
"Cedric Cole",4,"10 Schools Remaining","6'1""",WR,"212 lbs",45,"Lincoln Park",A,D,B,B,C,,B,C,D,D,D,D,D,D,C,C,,,,D,C,C,B,D,,,,,,,,,,,,,,,"Notre Dame",Oregon,Cal,"Michigan State",Rutgers,Michigan,,,,
"James Burley",4,"10 Schools Remaining","6'6""",T,"285 lbs",46,"Blacklick Estates",D,C,D,A,D,,C,B,,,,,,,,,B,B,B,,,,,,,,,,,,,,,,,,,,"Michigan State",Syracuse,Virginia,"Kansas State",Iowa,Buffalo,Michigan,Cincinnati,,
"Richard Smith",4,"10 Schools Remaining","6'2""",C,"280 lbs",47,Carlisle,D,C,C,A,D,,D,C,,,,,,,,,A,B,C,,,,,,,,,,,,,,,,,,,,"Virginia Tech",Oklahoma,Georgia,Houston,"Arkansas State",Hawai'i,"Florida State",ECU,"Fresno State",Arizona
"Shannon Timmons",4,"10 Schools Remaining","6'1""",HB,"217 lbs",48,Sallisaw,A,D,C,C,C,,B,B,B,D,B,D,B,B,C,C,D,D,D,D,D,D,C,D,,,,,,,,,,,,,,,Stanford,Oregon,Cal,"Oklahoma State","Kansas State","Boston College","West Virginia",,,
"Eric McNeal",4,"Soft Commit","6'3""",C,"296 lbs",49,"North Bellmore",D,B,D,C,D,,D,B,,,,,,,,,C,B,B,,,,,,,,,,,,,,,,,,,,Michigan,Georgia,"Georgia Tech",Syracuse,"Mississippi State",Indiana,"Kansas State",Buffalo,,
"Aaron Thompson",4,"10 Schools Remaining","5'11""",HB,"211 lbs",50,"Sugar Land",A,D,B,B,C,,A,B,C,C,B,B,C,C,D,C,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,LSU,"Arizona State",Oklahoma,"Kansas State",Navy,"Oklahoma State","Boston College",Nebraska,Pittsburgh,Missouri
"Pat Timmons",4,"10 Schools Remaining","6'2""",ATH,"211 lbs",51,Jupiter,C,D,D,B,C,,B,C,C,B,D,B,D,C,C,C,,,,D,D,D,D,D,D,D,B,B,D,D,D,C,C,D,C,C,,,Miami,Michigan,"Oklahoma State",Purdue,"Florida State",Clemson,Georgia,"South Carolina",Auburn,Cincinnati
"Preston Thomas",4,"10 Schools Remaining","6'5""",SS,"208 lbs",52,"National City",C,D,C,B,B,,A,C,,,,,,,,,,,,,,,,,B,B,C,D,D,D,B,C,A,C,,,,,Oregon,Stanford,Cal,"Boise State","North Carolina","Arkansas State",FIU,Indiana,Buffalo,"Northern Illinois"
"P.J. Jude",4,"10 Schools Remaining","6'5""",DE,"250 lbs",53,Waynesboro,B,D,D,A,D,,B,B,,,,,,,,,,,,,,,,,B,C,C,B,C,D,B,,,,,,,,Michigan,Wisconsin,"Ohio State",LSU,Auburn,Northwestern,"Penn State",,,
"Marcus Evans",4,"Soft Commit","6'2""",WR,"173 lbs",54,Hershey,B,D,C,B,C,,B,B,D,D,D,D,D,D,B,B,,,,C,C,C,B,B,,,,,,,,,,,,,,,Northwestern,Alabama,"Notre Dame","Penn State",Navy,,,,,
"Brandon Corbett",4,"10 Schools Remaining","6'1""",CB,"196 lbs",55,Lynwood,A,D,B,B,A,,A,A,,,,,,,,,,,,,,,,,D,D,C,C,D,D,D,B,B,B,,,,,Rutgers,USC,Cal,Alabama,Hawai'i,BYU,"Boise State",Miami,"Fresno State",Arizona
"Reggie Buchanan",4,"10 Schools Remaining","5'11""",OLB,"197 lbs",56,Niles,C,C,C,A,A,,B,B,,,,,,,,,,,,,,,,,B,C,B,B,D,C,C,C,C,C,,,,,Northwestern,Clemson,Michigan,"Penn State","NC State",Virginia,Pittsburgh,Indiana,"Northern Illinois",Cincinnati
"Wayne Davis",4,"10 Schools Remaining","6'2""",MLB,"249 lbs",57,Wellington,C,B,C,C,C,,B,B,,,,,,,,,,,,,,,,,B,A,B,C,C,C,D,D,D,D,,,,,Alabama,Auburn,"Arkansas State",Cal,USC,Miami,UCF,Arizona,Arkansas,Louisville
"Matthew Ward",4,"10 Schools Remaining","6'5""",TE,"254 lbs",58,"Manassas Park",B,C,C,C,C,,B,B,D,B,D,D,D,D,C,D,D,B,C,C,C,C,C,C,,,,,,,,,,,,,,,Alabama,"Notre Dame","North Carolina",Virginia,Auburn,Georgia,"Georgia Tech",Houston,Clemson,Louisville
"Titus Rhodes",4,"10 Schools Remaining","6'0""",G,"324 lbs",59,"Pell City",D,B,D,B,D,,D,A,,,,,,,,,C,B,C,,,,,,,,,,,,,,,,,,,,Auburn,Florida,"Virginia Tech","Arkansas State","Mississippi State","Boston College","Southern Miss",,,Indiana
"Todd Black",4,"10 Schools Remaining","6'3""",QB,"226 lbs",60,Jonesboro,B,D,B,B,B,,C,C,C,D,B,D,B,B,D,C,,,,,,,,,,,,,,,,,,,B,B,,,LSU,Georgia,Texas,TCU,"Arizona State",,,,,
"Aaron Elliott",4,"10 Schools Remaining","6'0""",ATH,"183 lbs",61,"Hilton Head Island",A,D,B,B,C,,B,B,D,D,D,D,D,D,D,D,,,,C,B,C,D,C,D,D,B,D,D,D,D,A,B,D,D,D,,,Clemson,"Arizona State",Michigan,Rutgers,"NC State",,,,,
"Michael Coleman",4,"10 Schools Remaining","5'11""",OLB,"216 lbs",62,Trenton,B,C,C,A,B,,C,B,,,,,,,,,,,,,,,,,B,B,C,B,B,D,D,D,C,D,,,,,Baylor,Michigan,Indiana,"Notre Dame",Purdue,Alabama,USC,"Northern Illinois",Toledo,"West Virginia"
"Danny Edwards",4,"10 Schools Remaining","6'2""",ATH,"209 lbs",63,Roxboro,A,D,B,B,B,,C,B,D,D,D,A,B,A,D,D,,,,C,B,D,C,D,D,D,D,C,D,D,D,B,B,B,C,C,,,"South Carolina",Illinois,UCF,"North Carolina",Florida,Wyoming,"NC State",,,
"Brian Harris",4,"10 Schools Remaining","6'5""",FS,"220 lbs",64,Urbandale,A,B,C,A,C,,A,B,,,,,,,,,,,,,,,,,B,D,C,D,D,D,D,D,B,B,,,,,Oklahoma,USC,"Notre Dame",Alabama,Wisconsin,LSU,Miami,"Arkansas State",Utah,Louisville
"Justin Jackson",4,"10 Schools Remaining","6'3""",DT,"283 lbs",65,"Oakland Park",D,B,D,D,C,,C,C,,,,,,,,,,,,,,,,,B,B,B,A,C,B,B,,,,,,,,"Virginia Tech","North Carolina",Duke,Hawai'i,TCU,"Florida State",Cincinnati,FIU,UCF,Buffalo
"John Foster",4,"10 Schools Remaining","5'10""",ATH,"174 lbs",66,Defiance,B,D,B,B,C,,B,B,C,D,C,D,D,D,A,D,,,,B,D,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,,,Oregon,"Notre Dame",Baylor,Michigan,Nebraska,"Ohio State",Wisconsin,Northwestern,Buffalo,Louisville
"Brandon Cooper",4,"Soft Commit","6'2""",G,"282 lbs",67,Pharr,D,C,D,A,D,,D,C,,,,,,,,,B,C,C,,,,,,,,,,,,,,,,,,,,LSU,Baylor,Cal,"Oklahoma State",Maryland,Oklahoma,Navy,Missouri,Arkansas,BYU
"Reggie Austin",4,"10 Schools Remaining","6'4""",OLB,"229 lbs",68,"New Braunfels",B,C,C,A,D,,C,B,,,,,,,,,,,,,,,,,B,B,A,B,D,D,B,D,D,C,,,,,"Notre Dame",USC,"Kansas State",SMU,Oklahoma,LSU,BYU,UCF,Arizona,Missouri
"Joe Brown",4,"10 Schools Remaining","6'1""",ATH,"193 lbs",69,Huntsville,C,D,B,C,D,,B,B,B,D,A,B,D,D,C,D,,,,C,D,D,D,D,D,D,B,B,D,D,D,B,C,C,B,C,,,Wisconsin,"Arizona State",USC,Texas,LSU,"Boise State",Nebraska,,,
"Bobby McAfee",4,"10 Schools Remaining","6'1""",ATH,"185 lbs",70,Meadville,A,D,B,B,A,,A,B,D,D,C,C,B,C,C,D,,,,D,D,D,D,D,D,D,C,D,D,D,D,C,B,B,C,C,,,Duke,Navy,Northwestern,"Penn State",Wyoming,Pittsburgh,,,,
"Cedric Jones",4,"10 Schools Remaining","5'9""",CB,"180 lbs",71,Lacombe,A,D,A,B,B,,B,B,,,,,,,,,,,,,,,,,D,D,C,C,D,D,D,B,B,B,,,,,Rutgers,"Florida State","Ohio State",Michigan,Texas,LSU,Arkansas,"Mississippi State",TCU,"Fresno State"
"Daniel Henderson",4,"Soft Commit","6'0""",QB,"195 lbs",72,Bartlesville,D,D,D,D,D,,B,B,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,B,B,,,Rutgers,Oklahoma,,,,,,,,
"Devin McGuire",4,"10 Schools Remaining","6'0""",ATH,"191 lbs",73,Jennings,C,D,B,B,B,,B,C,D,C,D,D,D,C,A,C,,,,C,B,B,C,B,D,D,D,D,D,D,D,D,D,D,C,B,,,LSU,Wisconsin,Texas,Michigan,Oregon,"Penn State","Mississippi State",Arkansas,,
"Kelvin McDonald",4,"10 Schools Remaining","5'11""",HB,"215 lbs",74,Chillicothe,B,D,C,A,C,,C,B,C,C,D,B,B,B,D,D,D,D,D,D,B,D,D,C,,,,,,,,,,,,,,,"Ohio State",LSU,Northwestern,Virginia,Iowa,Nebraska,"Notre Dame",Michigan,Indiana,Cincinnati
"Mark Poole",4,"10 Schools Remaining","6'0""",OLB,"220 lbs",75,Macomb,C,B,B,B,B,,A,C,,,,,,,,,,,,,,,,,A,B,B,D,D,D,C,C,C,C,,,,,"Notre Dame",Arkansas,Northwestern,"Ohio State",Purdue,"Northern Illinois",Toledo,SMU,Missouri,"West Virginia"
"Brian Woods",4,"8 Schools Remaining","6'0""",HB,"215 lbs",76,Shelby,C,76,82,C,80,,C,B,76,B,D,77,B,83,71,C,43,D,42,63,80,D,74,71,,,,,,,,,,,,,,,Maryland,USC,Alabama,Northwestern,Wisconsin,"Notre Dame",Michigan,"Ohio State",Nebraska,Indiana
"Seth Graves",4,"10 Schools Remaining","6'0""",HB,"208 lbs",77,Waterford,B,C,B,C,C,,B,B,B,D,C,B,C,D,C,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Florida,"Penn State",USC,"Florida State",Michigan,Indiana,,,,
"Jeremy Fisher",4,"10 Schools Remaining","6'7""",DE,"247 lbs",78,"Coral Terrace",C,C,D,B,D,,C,B,,,,,,,,,,,,,,,,,A,C,C,D,C,D,C,,,,,,,,Baylor,"Florida State","South Carolina",Rutgers,Duke,Buffalo,Hawai'i,Louisville,UCF,Clemson
"James Parker",4,"Soft Commit","6'2""",WR,"195 lbs",79,Warren,A,D,C,B,C,,C,B,D,D,D,D,D,D,B,C,,,,C,C,C,C,B,,,,,,,,,,,,,,,Illinois,Rutgers,Syracuse,Michigan,,,,,,
"A.J. Williams",4,"10 Schools Remaining","6'0""",ATH,"231 lbs",80,"Charles City",B,D,A,B,B,,A,B,C,C,D,B,C,D,C,C,,,,D,D,D,D,C,D,D,C,C,D,D,D,D,C,D,D,D,,,Iowa,Nebraska,"Oklahoma State",Syracuse,,,,,,
"Terry Baldwin",4,"10 Schools Remaining","6'5""",OLB,"233 lbs",81,Evergreen,B,B,B,B,D,,B,C,,,,,,,,,,,,,,,,,C,B,B,D,C,D,B,D,C,C,,,,,Alabama,Auburn,"Notre Dame",Oklahoma,Georgia,"Mississippi State","Arkansas State",SMU,,
"Steve Pope",4,"10 Schools Remaining","6'5""",T,"275 lbs",82,Oshkosh,D,C,D,C,C,,C,B,,,,,,,,,B,B,C,,,,,,,,,,,,,,,,,,,,Baylor,"Arizona State",Oregon,Nevada,"Mississippi State",Michigan,"North Carolina",Nebraska,Indiana,"Northern Illinois"
"Kevin Daniel",4,"Soft Commit","6'5""",TE,"250 lbs",83,"College Park",B,D,D,B,C,,B,B,D,C,D,D,D,D,D,D,C,B,B,D,D,C,C,D,,,,,,,,,,,,,,,"Georgia Tech","West Virginia","Texas Tech",Virginia,Michigan,Wyoming,"South Carolina",Tulsa,,
"Rodney Payne",4,"10 Schools Remaining","6'2""",QB,"202 lbs",84,"Nebraska City",C,D,C,C,D,,B,C,D,D,D,D,C,C,D,D,,,,,,,,,,,,,,,,,,,A,C,,,"Boston College",Nebraska,,,,,,,,
"Stanford Johnson",4,"10 Schools Remaining","5'10""",CB,"179 lbs",85,Chico,A,D,B,A,B,,B,B,,,,,,,,,,,,,,,,,C,D,B,C,D,D,D,B,C,C,,,,,Cal,Oregon,"Arizona State",Texas,"Boise State",Rutgers,Miami,"Fresno State",Arizona,BYU
"Ian Fine",4,"10 Schools Remaining","5'10""",ATH,"176 lbs",86,Venice,A,D,B,B,A,,B,C,D,D,B,D,B,B,C,C,,,,D,D,D,C,D,D,D,B,C,D,D,D,B,C,D,D,D,,,Oklahoma,Baylor,"Notre Dame",Auburn,Alabama,Miami,UCF,,,
